account_id,mean_amount
389,331.721191
289,333.574249
638,339.998840
965,352.377380
992,392.447205
804,386.121674
494,352.261688
837,318.964874
433,314.255127
94,344.492126
989,384.467529
561,313.184387
723,347.846344
774,317.916199
584,338.655518
12,357.856995
847,370.334686
864,381.143402
607,330.022919
659,364.929504
922,362.207916
991,352.458374
722,357.190979
754,362.723633
30,347.333740
916,361.800476
288,386.469910
690,365.060974
411,376.046387
283,360.406494
171,321.122589
740,339.019928
348,342.602570
544,367.987610
582,371.925598
332,353.066437
504,320.878540
679,365.703766
380,314.649536
350,379.224915
915,353.004944
259,372.032410
100,359.186340
836,392.691223
621,367.069489
705,378.374695
236,363.298492
865,340.122925
445,319.335571
352,322.243530
558,380.041443
729,348.307281
437,344.723846
499,353.465454
839,367.711151
477,348.793488
109,341.401306
452,379.253082
748,316.282379
317,378.576721
838,361.208466
150,377.189697
488,350.468445
629,386.808380
875,371.941833
716,378.047882
639,385.335205
568,363.142365
891,357.665863
190,354.208832
653,356.614502
374,377.428619
465,355.976746
10,384.307861
416,370.464813
167,365.627228
800,387.688263
67,350.138123
709,400.476044
196,376.979187
521,371.524658
626,355.052765
632,366.748016
300,333.091766
45,348.800598
241,349.166260
944,341.002411
670,351.220795
28,324.621643
213,354.896423
910,345.486786
403,362.135712
334,398.842010
719,379.811646
245,358.643829
777,355.464996
535,350.034332
779,381.156403
396,348.287140
756,401.793457
983,378.774353
744,352.398407
702,345.610352
451,364.649780
55,361.221436
29,356.398254
818,372.362732
76,384.898468
467,353.136597
630,334.224426
412,347.396820
476,324.330841
114,331.828064
694,367.798340
270,319.876984
11,344.139771
60,358.785400
48,365.806610
78,315.407104
247,343.245209
520,377.244781
610,372.693878
462,351.447510
615,389.829559
180,399.460754
503,375.239838
102,355.246674
303,339.341431
408,344.447418
633,326.491425
978,381.539825
587,363.528564
420,330.271301
843,362.015839
869,376.388123
933,333.355347
414,356.830536
977,367.025879
512,339.078278
325,332.185577
873,330.260742
392,392.656891
762,362.391510
884,339.108185
663,424.042847
867,327.423523
129,317.852722
972,324.942413
612,382.273712
280,353.515656
235,350.703278
206,349.806061
257,354.994019
126,339.997192
771,342.599792
164,337.919739
165,367.230652
287,314.010193
552,356.412750
990,346.084930
498,397.063904
458,338.966980
301,354.340302
745,374.781097
373,391.414185
41,373.598877
133,325.933380
796,353.483826
14,365.832672
788,366.305573
274,327.946350
382,369.248749
266,372.034149
342,336.838287
853,333.277435
323,347.743011
148,358.495148
619,333.859131
480,375.281433
755,354.209839
935,364.548340
820,376.384705
840,359.975861
656,383.558746
551,345.752960
606,339.364441
731,365.421295
293,351.654785
89,359.676270
413,343.508392
737,365.583527
469,347.517822
608,335.917786
654,355.957428
295,366.564545
583,347.905487
636,374.672546
555,372.629028
371,386.971375
766,360.423889
701,368.929535
677,369.943298
963,343.371246
170,367.888153
439,335.591217
383,343.258881
33,347.379578
329,346.260132
980,354.080841
37,333.269409
254,314.905182
528,368.602875
344,370.706848
244,353.425964
321,343.412476
877,338.657898
988,378.274261
397,360.733307
130,341.540802
253,362.808624
982,353.357330
223,336.044281
940,307.857758
68,360.665466
862,379.614136
819,378.977295
631,375.454773
667,353.098236
686,310.306549
852,386.067505
781,354.456665
510,311.968414
589,351.466003
405,374.391571
298,358.816345
645,380.341461
346,336.608368
107,360.033966
537,345.016785
347,350.671417
746,344.992340
904,341.686798
215,317.842560
318,376.346405
460,348.609650
945,373.528656
204,359.119812
962,374.960175
203,380.019867
886,366.781189
272,333.245758
936,337.380829
805,377.137360
370,339.364777
553,343.113129
732,346.400208
603,359.446472
205,346.741699
393,369.565887
186,341.142670
183,318.356750
228,376.924866
158,356.066772
2,362.861023
261,355.141541
623,354.785828
560,333.628113
530,321.937439
971,332.616943
66,336.048798
