account_id,mean_amount
389,331.721252
289,333.574249
638,339.998871
965,352.377411
992,392.447083
804,386.121704
494,352.261719
837,318.964935
433,314.255157
94,344.492157
989,384.467438
561,313.184448
723,347.846344
774,317.916199
584,338.655518
12,357.857086
847,370.334778
864,381.143433
607,330.022919
659,364.929657
922,362.207855
991,352.458466
722,357.190979
754,362.723602
30,347.333771
916,361.800446
288,386.469910
690,365.060791
411,376.046417
283,360.406494
171,321.122528
740,339.019989
348,342.602539
544,367.987610
582,371.925629
332,353.066376
504,320.878510
679,365.703766
380,314.649506
350,379.224976
915,353.004791
259,372.032379
100,359.186157
836,392.691162
621,367.069489
705,378.374695
236,363.298462
865,340.122955
445,319.335571
352,322.243469
558,380.041412
729,348.307281
437,344.723846
499,353.465485
839,367.711090
477,348.793457
109,341.401398
452,379.253021
748,316.282410
317,378.576752
838,361.208496
150,377.189789
488,350.468445
629,386.808319
875,371.941864
716,378.047821
639,385.335236
568,363.142456
891,357.665863
190,354.208771
653,356.614471
374,377.428528
465,355.976715
10,384.307861
416,370.464722
167,365.627319
67,350.138031
709,400.476105
196,376.979218
800,387.688263
521,371.524658
626,355.052765
632,366.748077
300,333.091766
45,348.800659
241,349.166260
944,341.002411
670,351.220886
28,324.621643
213,354.896393
910,345.486755
403,362.135681
334,398.842072
719,379.811523
245,358.643890
777,355.464966
535,350.034271
779,381.156372
396,348.287140
756,401.793518
983,378.774292
744,352.398468
702,345.610352
451,364.649811
55,361.221436
29,356.398193
818,372.362823
76,384.898438
467,353.136536
630,334.224426
412,347.396820
476,324.330841
114,331.827972
694,367.798279
270,319.877045
11,344.139771
60,358.785339
48,365.806671
78,315.407166
247,343.245209
520,377.244720
610,372.693878
462,351.447357
615,389.829559
180,399.460754
503,375.239868
102,355.246674
303,339.341461
408,344.447388
633,326.491394
978,381.539764
587,363.528687
420,330.271362
843,362.015839
869,376.388184
933,333.355316
414,356.830444
977,367.025787
512,339.078278
325,332.185638
873,330.260803
392,392.656982
762,362.391510
884,339.108215
663,424.042847
867,327.423553
129,317.852814
972,324.942352
612,382.273682
280,353.515686
235,350.703308
206,349.806061
257,354.994049
126,339.997223
771,342.599792
164,337.919739
165,367.230560
287,314.010193
552,356.412811
990,346.084991
498,397.063873
458,338.966980
301,354.340302
373,391.414307
745,374.781189
41,373.598846
133,325.933350
796,353.483795
14,365.832703
788,366.305664
274,327.946411
382,369.248688
266,372.034180
342,336.838348
853,333.277435
323,347.743011
148,358.495087
619,333.859222
480,375.281311
755,354.209839
935,364.548248
820,376.384674
840,359.975800
656,383.558655
551,345.753082
293,351.654724
89,359.676239
606,339.364410
731,365.421295
413,343.508362
737,365.583618
469,347.517883
608,335.917786
654,355.957428
295,366.564514
583,347.905487
636,374.672668
555,372.629028
