account_id,mean_amount
389,331.721222
289,333.574249
638,339.998871
965,352.377441
992,392.447113
804,386.121674
494,352.261719
837,318.964874
433,314.255157
94,344.492157
989,384.467438
561,313.184448
723,347.846344
774,317.916199
584,338.655548
12,357.857056
847,370.334808
864,381.143494
607,330.022919
659,364.929657
922,362.207855
991,352.458496
722,357.190918
754,362.723633
30,347.333771
916,361.800476
288,386.469879
690,365.060791
411,376.046417
283,360.406494
171,321.122559
740,339.019989
348,342.602539
544,367.987671
582,371.925629
332,353.066406
504,320.878540
679,365.703705
380,314.649475
350,379.224976
915,353.004822
259,372.032349
100,359.186249
836,392.691162
621,367.069550
705,378.374725
236,363.298401
865,340.123016
445,319.335571
352,322.243469
558,380.041412
729,348.307312
437,344.723877
499,353.465485
839,367.711090
477,348.793488
109,341.401398
452,379.253021
748,316.282379
317,378.576782
838,361.208496
150,377.189789
488,350.468445
629,386.808289
875,371.941864
716,378.047852
639,385.335205
568,363.142456
891,357.665863
190,354.208740
653,356.614471
374,377.428528
465,355.976715
10,384.307800
416,370.464691
167,365.627319
800,387.688263
67,350.138031
709,400.476105
196,376.979218
521,371.524689
626,355.052765
632,366.748077
300,333.091766
45,348.800720
241,349.166260
944,341.002472
670,351.220856
28,324.621674
213,354.896393
910,345.486694
403,362.135681
334,398.842072
719,379.811523
245,358.643860
777,355.464966
535,350.034271
779,381.156342
396,348.287140
756,401.793549
983,378.774384
744,352.398499
702,345.610352
451,364.649780
55,361.221436
29,356.398193
818,372.362793
76,384.898438
467,353.136536
630,334.224426
412,347.396820
476,324.330841
114,331.827972
694,367.798309
270,319.877014
11,344.139771
60,358.785339
48,365.806702
78,315.407196
247,343.245209
520,377.244690
610,372.693909
462,351.447357
615,389.829498
180,399.460754
503,375.239868
102,355.246613
303,339.341431
408,344.447388
633,326.491364
978,381.539764
587,363.528687
420,330.271301
843,362.015839
869,376.388184
933,333.355286
414,356.830475
977,367.025787
512,339.078247
325,332.185608
873,330.260742
392,392.656921
762,362.391541
884,339.108215
663,424.042816
867,327.423523
129,317.852753
972,324.942352
235,350.703308
206,349.806061
612,382.273682
280,353.515686
257,354.994049
126,339.997223
771,342.599792
164,337.919708
165,367.230560
287,314.010193
552,356.412842
990,346.084991
498,397.063873
458,338.966949
301,354.340302
745,374.781189
373,391.414307
41,373.598846
133,325.933319
796,353.483826
14,365.832703
788,366.305695
274,327.946411
382,369.248688
266,372.034180
342,336.838287
853,333.277435
323,347.742950
148,358.495148
619,333.859161
480,375.281311
755,354.209869
935,364.548279
820,376.384674
840,359.975830
656,383.558716
551,345.753052
606,339.364410
731,365.421295
293,351.654724
89,359.676270
413,343.508301
737,365.583588
469,347.517883
608,335.917816
654,355.957428
295,366.564514
583,347.905487
636,374.672668
555,372.629028
371,386.971466
766,360.423859
701,368.929596
677,369.943298
963,343.371216
170,367.888275
439,335.591156
383,343.258759
33,347.379517
329,346.260132
980,354.080750
37,333.269379
254,314.905212
528,368.602844
344,370.706848
244,353.426025
321,343.412415
877,338.657837
988,378.274323
397,360.733307
130,341.540771
253,362.808563
982,353.357269
223,336.044342
940,307.857697
68,360.665375
862,379.613983
819,378.977264
631,375.454773
667,353.098236
686,310.306549
852,386.067474
781,354.456604
510,311.968445
589,351.465942
405,374.391632
298,358.816345
645,380.341461
346,336.608398
107,360.033966
537,345.016724
347,350.671387
746,344.992218
904,341.686768
215,317.842499
318,376.346680
460,348.609711
945,373.528625
204,359.119751
962,374.960175
203,380.019897
886,366.781189
272,333.245728
936,337.380890
805,377.137390
370,339.364838
553,343.113129
732,346.400269
603,359.446411
205,346.741699
393,369.565918
186,341.142609
183,318.356812
228,376.924866
158,356.066742
2,362.861084
261,355.141602
623,354.785858
560,333.628052
530,321.937408
971,332.616974
66,336.048767
